Experiment,Method,Threads,Ticker,Iterations,Mean Price,Std Dev,Profit (%),Conf Interval Lower,Conf Interval Upper,Elapsed Time (s),Memory Used (MB),CPU Used (%)
1,Parallel,2,GOOGL,110000,GOOGL,236.4239069214121,64.70615798110742,37.86453982639615,236.04151796378335,236.80629587904087,1.9725072383880615,0.00390625,12.211111111111112
1,Parallel,4,AAPL,110000,AAPL,312.5133604251435,70.61667267150766,30.43673158390554,312.09604255777833,312.9306782925087,2.188709020614624,-0.1875,18.7
1,Parallel,4,MSFT,110000,MSFT,516.4988525582309,101.273120777866,19.842878878810836,515.9003666598505,517.0973384566112,2.1891353130340576,0.0,17.15
1,Parallel,4,GOOGL,110000,GOOGL,236.64048392262055,64.83269072032697,37.99083115199592,236.2573472042876,237.02362064095348,2.1882550716400146,0.0,21.01
1,Sequential,1,AAPL,210000,AAPL,312.33154374566305,70.88874285275122,30.36084499337192,312.0283475842896,312.63473990703653,9.783190250396729,1.0859375,8.5
1,Sequential,1,MSFT,210000,MSFT,516.4966476199908,101.86554624335719,19.842367268484633,516.0609614820471,516.9323337579344,9.769617080688477,2.6015625,1.4
1,Sequential,1,GOOGL,210000,GOOGL,236.48114282472136,64.62035618775118,37.897915475982636,236.20475699596702,236.7575286534757,9.717956066131592,2.5859375,0.4
1,Parallel,1,AAPL,210000,AAPL,312.19453140516265,70.83274853416775,30.30365882425191,311.8915747354457,312.4974880748796,2.4077703952789307,1.74609375,8.736363636363636
1,Parallel,1,MSFT,210000,MSFT,517.1480478362564,101.99086044931056,19.99351121940126,516.7118257206006,517.5842699519122,2.641158103942871,0.0078125,17.333333333333332
1,Parallel,1,GOOGL,210000,GOOGL,236.22475943996358,64.44392269816075,37.74841207838201,235.94912822970898,236.50039065021818,2.6292049884796143,-0.0078125,10.899999999999999
1,Parallel,2,AAPL,210000,AAPL,312.18879086403757,71.07234363779541,30.301262838938325,311.8848094291353,312.4927722989398,2.19321608543396,0.03125,13.929999999999998
1,Parallel,2,MSFT,210000,MSFT,516.5480288179803,101.74681678340616,19.854289213048116,516.1128504943249,516.9832071416356,2.62161922454834,0.01953125,20.525000000000002
1,Parallel,2,GOOGL,210000,GOOGL,236.10747852303226,64.45606840660483,37.680022718550774,235.83179536472457,236.38316168133994,2.4056785106658936,0.0078125,30.390909090909087
1,Parallel,4,AAPL,210000,AAPL,312.2223789627942,70.93427767707018,30.315281829409557,311.91898804576016,312.52576987982826,2.4123737812042236,0.4375,20.09090909090909
1,Parallel,4,MSFT,210000,MSFT,517.062387981044,101.87983444441934,19.973635621222968,516.6266407314549,517.4981352306331,2.6486001014709473,0.1171875,15.95833333333333
1,Parallel,4,GOOGL,210000,GOOGL,236.25055205360974,64.47485218291204,37.76345237975234,235.97478855576375,236.52631555145572,2.4114954471588135,-0.00390625,16.663636363636364
1,Sequential,1,AAPL,310000,AAPL,312.1572813792026,70.84002425635455,30.28811141971523,311.9079057977405,312.40665696066463,13.874090433120728,-1.40625,1.2
1,Sequential,1,MSFT,310000,MSFT,516.8168656701606,102.0066694245213,19.916667245747384,516.4577752722141,517.1759560681071,14.06569242477417,1.08984375,0.0
1,Sequential,1,GOOGL,310000,GOOGL,236.53531824690083,64.69742674167998,37.92950648446367,236.30756622984305,236.7630702639586,13.999083757400513,1.01171875,1.1
1,Parallel,1,AAPL,310000,AAPL,312.36797481928875,71.04639907389924,30.376050583831677,312.1178727440025,312.618076894575,2.834329843521118,0.16015625,9.253846153846153
1,Parallel,1,MSFT,310000,MSFT,516.5204413225562,101.62155993538606,19.847888105172846,516.1627066116495,516.8781760334629,2.817856788635254,0.00390625,10.338461538461539
1,Parallel,1,GOOGL,310000,GOOGL,236.45505425613297,64.58923819331145,37.88270259607551,236.22768309131854,236.6824254209474,2.8284647464752197,-0.015625,13.315384615384614
1,Parallel,2,AAPL,310000,AAPL,312.27378300144983,71.02360378103052,30.336736831471967,312.02376117161066,312.523804831289,2.411576271057129,0.04296875,24.436363636363637
1,Parallel,2,MSFT,310000,MSFT,516.8901223721039,101.75844925111244,19.933664948674625,516.5319057746781,517.2483389695296,2.416710138320923,0.01953125,20.845454545454547
1,Parallel,2,GOOGL,310000,GOOGL,236.33173184626338,64.71325264641041,37.81079029453063,236.1039241178442,236.55953957468256,2.199100971221924,0.0,16.43
1,Parallel,4,AAPL,310000,AAPL,312.31495262824365,71.11090731385367,30.35392019781576,312.0646234669278,312.5652817895595,2.9322495460510254,0.02734375,37.776923076923076
1,Parallel,4,MSFT,310000,MSFT,516.7326527099109,101.73530983528477,19.897127369627146,516.3745175693357,517.0907878504861,2.64892315864563,0.015625,21.900000000000002
1,Parallel,4,GOOGL,310000,GOOGL,236.43424050155807,64.63718960081785,37.87056558872337,236.2067005351339,236.66178046798223,2.634518623352051,0.02734375,24.08333333333333
1,Sequential,1,AAPL,410000,AAPL,312.39048343903846,71.11741512885295,30.385445224715586,312.1727926236117,312.6081742544652,18.568771362304688,0.79296875,10.6
1,Sequential,1,MSFT,410000,MSFT,516.7333802571655,101.65735487623117,19.897296181923796,516.4222065110861,517.044554003245,18.816625356674194,0.984375,1.6
1,Sequential,1,GOOGL,410000,GOOGL,236.54894544119333,64.58580072709195,37.937452833437945,236.35124793489624,236.74664294749041,18.723593950271606,0.9921875,1.6
