Experiment,Method,Threads,Ticker,Mean Price,Std Dev,Profit (%),Conf Interval Lower,Conf Interval Upper,Elapsed Time (s),Memory Used (MB),CPU Used (%)
1,Sequential,1,AAPL,312.2317742985321,71.10273502502457,30.31920325179009,312.09241293788307,312.37113565918116,49.30431842803955,-0.921875,0.8
1,Sequential,1,MSFT,516.6943493377134,101.86203261820468,19.888239864123168,516.4946997537818,516.8939989216451,48.65063977241516,0.03125,0.6
1,Sequential,1,GOOGL,236.48143007583434,64.6251286596543,37.89808297910456,236.3547648236614,236.60809532800727,49.07142949104309,-6.80859375,1.6
1,Parallel,1,AAPL,312.4267290148452,71.07983547341243,30.40057339215193,312.2874125373173,312.56604549237306,10.5163733959198,-108.25,21.483333333333334
1,Parallel,1,MSFT,516.6186292014572,101.71787878877446,19.87067057220104,516.4192621590312,516.8179962438833,6.565160274505615,22.2421875,12.493333333333336
1,Parallel,1,GOOGL,236.4171906785104,64.55122006600286,37.860623421540716,236.29067028718103,236.54371106983976,5.47308874130249,0.1015625,14.699999999999998
1,Parallel,2,AAPL,312.2570312196161,71.08117390479195,30.329744977851302,312.1177121187627,312.39635032046954,4.15920352935791,0.078125,23.473684210526315
1,Parallel,2,MSFT,516.9207352241981,101.82113519505829,19.94076802800867,516.7211657992158,517.1203046491804,4.162386417388916,0.0859375,22.273684210526316
1,Parallel,2,GOOGL,236.4901588626238,64.6467289819357,37.90317294733002,236.36345127381918,236.6168664514284,3.9294681549072266,0.03515625,20.48333333333333
1,Parallel,4,AAPL,312.25147845712877,71.02921736140438,30.32742736752857,312.1122611911004,312.39069572315714,4.42372727394104,1.94921875,37.595
1,Parallel,4,MSFT,516.7497221148752,101.85360757035919,19.901087972098072,516.5500890440373,516.9493551857131,4.593637943267822,-1.8359375,29.990476190476187
1,Parallel,4,GOOGL,236.43120927848224,64.63109321145558,37.86879800870195,236.3045323357878,236.5578862211767,4.3933327198028564,2.13671875,25.225
2,Sequential,1,AAPL,312.20650245426526,71.00603644631927,30.30865529709535,312.06733062283047,312.34567428570006,48.505372524261475,1.125,0.8
2,Sequential,1,MSFT,516.7853126067552,101.71894492216485,19.9093460098197,516.5859434747077,516.9846817388026,48.19041180610657,1.0625,2.9
2,Sequential,1,GOOGL,236.44078311545502,64.67748786634507,37.874380746276216,236.314015239237,236.56755099167304,48.266175746917725,1.0390625,0.6
2,Parallel,1,AAPL,312.36624892910623,71.07194818909221,30.375330232310795,312.2269479106556,312.50554994755686,6.998714923858643,-27.84765625,14.621875
2,Parallel,1,MSFT,516.6955210300697,101.74387229369536,19.888511731106874,516.496103040374,516.8949390197654,6.589540481567383,22.703125,12.886666666666667
2,Parallel,1,GOOGL,236.31628550631635,64.63081779509082,37.80178315740761,236.18960910343796,236.44296190919474,5.681951284408569,0.5,14.06153846153846
2,Parallel,2,AAPL,312.3878157755891,71.05533736275976,30.38433179615424,312.2485473143581,312.5270842368201,4.856752395629883,0.20703125,28.58181818181818
2,Parallel,2,MSFT,516.7340146756405,101.8442607634105,19.897443385612785,516.5343999245442,516.9336294267368,4.385146856307983,0.140625,21.87
2,Parallel,2,GOOGL,236.52752676773966,64.60759170500985,37.92496308315071,236.40089588799785,236.65415764748147,4.157469034194946,0.0234375,19.705263157894734
2,Parallel,4,AAPL,312.3382577952472,71.00906050082847,30.363647301350877,312.1990800366656,312.47743555382885,4.161715507507324,1.94921875,33.926315789473676
2,Parallel,4,MSFT,516.5285297254128,101.73342132167826,19.849764851808523,516.3291322196224,516.7279272312032,4.422063589096069,0.015625,26.889999999999997
2,Parallel,4,GOOGL,236.45336653918767,64.69002265600261,37.881718447208975,236.3265740947819,236.58015898359344,4.592363595962524,-2.11328125,25.685714285714283
