Experiment,Method,Threads,Ticker,Mean Price,Std Dev,Profit (%),Conf Interval Lower,Conf Interval Upper,Elapsed Time (s),Memory Used (MB),CPU Used (%)
86,Sequential,1,AAPL,286.6421499378325,65.31046083446239,24.697505558175454,286.23735150773916,287.0469483679259,7.26716685295105,7.546875,10.9
86,Sequential,1,MSFT,472.83543285820485,92.70345003018672,13.389792052327303,472.2608509220649,473.4100147943448,5.106186866760254,1.8515625,2.7
86,Sequential,1,GOOGL,206.17566302632738,56.576399350591814,25.136968863987853,205.82499887015948,206.5263271824953,5.3664305210113525,0.90234375,7.8
86,Parallel,1,AAPL,286.6723337535777,65.10466073314534,24.710636378372218,286.26881088572753,287.0758566214278,7.5354039669036865,5.0,13.564705882352941
86,Parallel,1,MSFT,473.3896657836553,92.81187311562925,13.522701626775849,472.8144118342695,473.9649197330411,6.8950207233428955,1.40234375,12.512903225806452
86,Parallel,1,GOOGL,206.54620621961405,56.792400221441646,25.36186762924685,206.19420327617834,206.89820916304976,6.666283369064331,0.08203125,11.856666666666671
86,Parallel,2,AAPL,286.6292653984052,64.95132797524583,24.691900416268723,286.2266928968346,287.0318378999758,4.881707191467285,-0.69921875,17.2
86,Parallel,2,MSFT,472.93324305124656,92.62773138936319,13.413247734111886,472.35913042410465,473.5073556783885,4.896715879440308,0.02734375,17.34090909090909
86,Parallel,2,GOOGL,206.273011574264,56.76076347188735,25.196053927827528,205.92120471743354,206.62481843109444,5.12174129486084,-0.03125,27.2
86,Parallel,4,AAPL,286.3321286830878,64.77991062578724,24.56263747563745,285.9306186372565,286.73363872891906,4.884808778762817,-0.1015625,36.71818181818182
86,Parallel,4,MSFT,473.2803733489859,92.69665287807007,13.496492409828754,472.70583354203126,473.85491315594055,4.438243389129639,0.15234375,27.390000000000004
86,Parallel,4,GOOGL,206.63310393729097,56.991131033852554,25.414609630080864,206.27986924751866,206.98633862706328,4.219656705856323,-0.33203125,29.5
87,Sequential,1,AAPL,286.6288846999815,65.20277389813792,24.691734801603122,286.2247537204345,287.0330156795285,4.915065765380859,0.0234375,2.7
87,Sequential,1,MSFT,473.26732617256494,93.05253104310673,13.49336359054315,472.690580609891,473.84407173523886,4.950169563293457,0.765625,6.3
87,Sequential,1,GOOGL,206.37399839995444,56.65626629121048,25.257347220530484,206.02283922336,206.7251575765489,4.833761215209961,0.6328125,0.8
87,Parallel,1,AAPL,286.745779963574,65.12860501456056,24.74258757320254,286.3421086875301,287.149451239618,7.337925434112549,1.96875,16.04242424242424
87,Parallel,1,MSFT,472.5985565882087,92.34523728492726,13.33298719141695,472.0261948776661,473.17091829875125,6.927666187286377,0.0,11.870967741935484
87,Parallel,1,GOOGL,206.44235811268155,56.72120570021572,25.29883770062653,206.09079643746009,206.793919787903,6.681108236312866,0.01953125,11.546666666666669
87,Parallel,2,AAPL,286.7250594516851,65.32803220819288,24.733573559921542,286.3201521130891,287.1299667902812,5.335478782653809,-0.703125,26.0125
87,Parallel,2,MSFT,473.18660487230153,92.7243009057352,13.474005964580702,472.611893701096,473.76131604350707,4.89856743812561,0.01953125,20.281818181818185
87,Parallel,2,GOOGL,206.29808716625112,56.39287787192314,25.211273394216917,205.94856048799264,206.6476138445096,5.114405393600464,0.02734375,25.334782608695658
87,Parallel,4,AAPL,286.9041424743652,65.44094476485836,24.811479779299482,286.4985352964923,287.30974965223805,4.669750452041626,0.04296875,33.7047619047619
87,Parallel,4,MSFT,473.1729335371241,92.82871799447098,13.470727466936234,472.59757518209756,473.74829189215063,4.659046173095703,-0.09375,29.176190476190474
87,Parallel,4,GOOGL,206.37723597250752,56.65888027636758,25.259312243995534,206.02606059426523,206.7284113507498,4.886598825454712,0.0390625,33.03636363636363
88,Sequential,1,AAPL,286.6613930607278,65.40597115860295,24.70587686513331,286.2560026515123,287.0667834699433,4.944864511489868,-0.359375,1.3
88,Sequential,1,MSFT,472.68307777155167,92.5839062786513,13.35325606032414,472.1092367752601,473.2569187678432,4.995297431945801,0.734375,0.8
88,Sequential,1,GOOGL,206.55787290761953,56.52202001085962,25.368948649151225,206.2075457980912,206.90820001714786,5.406617641448975,0.765625,12.5
88,Parallel,1,AAPL,286.84903133012546,65.18931508191488,24.7875048606888,286.4449837691856,287.2530788910653,7.329765319824219,1.96875,11.954545454545455
88,Parallel,1,MSFT,473.2129714634561,93.15114393537509,13.480328888118965,472.63561469174357,473.7903282351686,6.9252846240997314,0.13671875,12.274193548387098
88,Parallel,1,GOOGL,206.54333266257413,56.869272813012245,25.36012354261434,206.19085325787958,206.89581206726868,6.90514063835144,-0.05078125,12.083870967741934
88,Parallel,2,AAPL,286.7749155803401,65.51515585868168,24.755262396965964,286.36884843734236,287.1809827233379,5.1167824268341064,-0.67578125,21.734782608695653
88,Parallel,2,MSFT,473.4843564512057,92.77117603724676,13.54540922091264,472.90935474492505,474.0593581574864,5.339146852493286,-0.421875,22.27916666666667
88,Parallel,2,GOOGL,206.53888444104783,56.79784249086877,25.357423723680977,206.18684776607674,206.89092111601892,5.562147617340088,0.01171875,28.048
88,Parallel,4,AAPL,286.16320955421105,64.8107880948737,24.489152839771595,285.7615081278436,286.5649109805785,5.552662372589111,0.04296875,43.071999999999996
88,Parallel,4,MSFT,473.3768049839244,93.04182515577314,13.519617502140141,472.80012577702763,473.95348419082114,4.665189027786255,-0.25,31.157142857142855
88,Parallel,4,GOOGL,206.44431364506147,56.563686258847135,25.300024598201865,206.09372828545256,206.79489900467038,4.674239873886108,0.01171875,31.619047619047624
