Experiment,Method,Threads,Ticker,Mean Price,Std Dev,Profit (%),Conf Interval Lower,Conf Interval Upper,Elapsed Time (s),Memory Used (MB),CPU Used (%)
28,Sequential,1,AAPL,312.2470131676143,70.98016901735465,30.32556364634541,312.1078920363403,312.3861342988883,48.09443473815918,6.4609375,1.0
28,Sequential,1,MSFT,516.7376381426507,101.66827331729627,19.898284136208584,516.5383683269488,516.9369079583525,47.35010743141174,1.03125,1.4
28,Sequential,1,GOOGL,236.41452084928466,64.63670563803643,37.85906657907747,236.28783290623412,236.5412087923352,47.48161029815674,1.05078125,0.8
28,Parallel,1,AAPL,312.22580183566765,70.99134681978899,30.316710467051266,312.08665879590086,312.36494487543445,15.169432163238525,-118.52734375,19.881159420289862
28,Parallel,1,MSFT,516.6084284640227,101.7517188808921,19.868303702004166,516.4089950950162,516.8078618330293,7.003704071044922,23.05078125,12.2875
28,Parallel,1,GOOGL,236.27651129283552,64.50622131317658,37.77858984455743,236.15007909906168,236.40294348660936,5.481870889663696,0.12890625,13.488
28,Parallel,2,AAPL,312.3440800824689,71.15862784266895,30.36607740582547,312.2046091718973,312.4835509930405,4.170900106430054,0.26171875,24.38947368421053
28,Parallel,2,MSFT,516.8665995605556,101.74631225674247,19.92820696664562,516.6671767885324,517.0660223325789,4.370192289352417,0.07421875,23.465
28,Parallel,2,GOOGL,236.30196002872415,64.59391687768577,37.793429622429876,236.1753559516439,236.4285641058044,4.158194065093994,0.1015625,25.700000000000003
28,Parallel,4,AAPL,312.19266733261975,70.97697967391358,30.302880798219363,312.05355245245886,312.33178221278064,3.9626612663269043,0.0859375,35.11666666666667
28,Parallel,4,MSFT,516.7766508976986,101.86151722935308,19.90733623933481,516.577002323929,516.9762994714681,4.381147384643555,1.87109375,34.440000000000005
28,Parallel,4,GOOGL,236.43573567435743,64.71411418666231,37.871437460407705,236.30889601055156,236.5625753381633,4.183767795562744,0.2734375,38.22105263157894
29,Sequential,1,AAPL,312.2399925218163,70.99069512892311,30.322633371331726,312.1008507593636,312.379134284269,48.8645076751709,1.97265625,4.3
29,Sequential,1,MSFT,516.8980574064669,101.89434018855873,19.935506109322635,516.6983444996973,517.0977703132365,47.481760025024414,1.15625,0.4
29,Sequential,1,GOOGL,236.29313363382175,64.54987688078701,37.78828273653584,236.16661587513542,236.4196513925081,47.85900354385376,2.0625,2.1
29,Parallel,1,AAPL,312.2006740676121,71.02233674278986,30.306222646841903,312.06147028759625,312.339877847628,13.250746965408325,-29.5390625,16.804999999999996
29,Parallel,1,MSFT,516.7355241945945,101.84183795829672,19.89779363827312,516.5359141921963,516.9351341969927,6.585461854934692,4.734375,17.053333333333335
29,Parallel,1,GOOGL,236.51376061140715,64.59465873228471,37.91693570202555,236.38715508029188,236.64036614252242,5.684398889541626,16.55859375,14.353846153846156
29,Parallel,2,AAPL,312.24766520832463,71.00927996351538,30.32583579489932,312.10848701959617,312.3868433970531,5.280056715011597,0.2265625,24.166666666666668
29,Parallel,2,MSFT,516.7810846710761,101.809769324434,19.90836500476812,516.5815375232002,516.980631818952,4.588858604431152,0.09765625,20.85714285714286
29,Parallel,2,GOOGL,236.45837606071964,64.69212452274347,37.88463962125498,236.33157949665505,236.58517262478424,4.366727828979492,0.03515625,18.615000000000002
29,Parallel,4,AAPL,312.1384786155776,70.96938942698648,30.28026352793661,311.9993786123007,312.2775786188545,4.168975353240967,2.0078125,28.599999999999998
29,Parallel,4,MSFT,516.7479893685545,101.76266478946711,19.90068592414305,516.5485345455671,516.9474441915419,4.6516194343566895,0.328125,42.180952380952384
29,Parallel,4,GOOGL,236.5071607279034,64.62346620217349,37.91308714916978,236.38049873414712,236.63382272165967,4.166597127914429,-1.7734375,27.900000000000002
30,Sequential,1,AAPL,312.4427704068801,71.04381946945257,30.407268743493837,312.3035245207199,312.5820162930402,47.948230028152466,4.94140625,1.2
30,Sequential,1,MSFT,516.658206543462,101.70684533099228,19.879853676056417,516.4588611266133,516.8575519603107,47.531723737716675,1.29296875,0.8
30,Sequential,1,GOOGL,236.46547765086586,64.67561350681656,37.88878073147642,236.3387134483925,236.59224185333923,47.86215877532959,1.09375,1.4
30,Parallel,1,AAPL,312.2453317179752,71.0478907196119,30.32486184340506,312.1060778521648,312.3845855837856,6.121415615081787,-10.953125,14.235714285714286
30,Parallel,1,MSFT,516.6054730068289,101.63214702487447,19.867617949273534,516.4062739986601,516.8046720149977,5.929340124130249,9.9140625,13.003703703703705
30,Parallel,1,GOOGL,236.41518072846634,64.53440744495592,37.85945137070412,236.28869328987423,236.54166816705845,5.4925148487091064,0.37109375,13.320000000000002
30,Parallel,2,AAPL,312.2285519503583,71.00314912100669,30.31785830908668,312.0893857780811,312.36771812263544,3.9537808895111084,-2.01171875,19.60555555555556
30,Parallel,2,MSFT,516.9082012267725,101.75556998038795,19.937859773076624,516.7087603096109,517.1076421439341,4.180163145065308,0.078125,23.368421052631575
30,Parallel,2,GOOGL,236.4338715077394,64.65470379722262,37.870350419438374,236.30714828829684,236.56059472718198,4.162901163101196,0.08203125,20.142105263157895
30,Parallel,4,AAPL,312.401313070542,71.07182790457593,30.38996529302774,312.2620122878491,312.54061385323496,3.947068691253662,0.19140625,32.8111111111111
30,Parallel,4,MSFT,516.6930054624604,101.83138307717063,19.88792804565856,516.4934159516291,516.8925949732917,3.965451717376709,2.01171875,29.216666666666665
30,Parallel,4,GOOGL,236.44812966757226,64.67392941523784,37.87866469979066,236.3213687659184,236.5748905692261,3.952796220779419,0.0078125,28.450000000000003
