Experiment,Method,Threads,Ticker,Mean Price,Std Dev,Profit (%),Conf Interval Lower,Conf Interval Upper,Elapsed Time (s),Memory Used (MB),CPU Used (%)
1,Sequential,1,AAPL,279.18709799860613,63.12993805271931,21.454345468740634,275.2742638998844,283.0999320973279,1.049614667892456,4.859375,9.3
1,Sequential,1,MSFT,466.2391199741863,89.54456638216305,11.807942439852825,460.6890902497346,471.78914969863797,0.30309534072875977,0.10546875,2.5
1,Sequential,1,GOOGL,205.9560778420753,56.81716317436263,25.003693074006584,202.4345135839949,209.4776421001557,0.4488067626953125,0.09765625,15.1
1,Parallel,1,AAPL,284.0210212837272,62.5951065906108,23.55723988201833,280.1413363824632,287.9007061849912,3.120464324951172,1.390625,11.657142857142857
1,Parallel,1,MSFT,473.7033621765618,93.43317944227996,13.597928579511228,467.91231371761285,479.4944106355108,2.0105297565460205,0.12109375,10.933333333333332
1,Parallel,1,GOOGL,206.52064546943797,57.910868798692654,25.346353699270953,202.93129263445022,210.10999830442572,2.6911730766296387,0.03515625,17.483333333333338
1,Parallel,2,AAPL,288.05355995354626,66.58232726076362,25.311509145287463,283.9267445547951,292.1803753522974,2.877631664276123,0.03515625,17.16153846153846
1,Parallel,2,MSFT,472.5431615630245,94.35861115077542,13.319703012715712,466.69475425252693,478.3915688735221,3.352433681488037,-0.00390625,21.76
1,Parallel,2,GOOGL,207.0240851251321,56.184295039788836,25.65191310232935,203.5417464404221,210.50642380984212,3.5676801204681396,0.0,35.65
1,Parallel,4,AAPL,287.4596356924077,66.34013315393618,25.0531351627084,283.34783163992006,291.5714397448953,4.138891935348511,0.0234375,50.394444444444446
1,Parallel,4,MSFT,468.54316306065937,90.58657967693463,12.360470757951887,462.92854868308007,474.15777743823867,4.453272104263306,0.00390625,36.33999999999999
1,Parallel,4,GOOGL,206.22732368534446,54.59305436185408,25.1683239627615,202.84361111965103,209.6110362510379,3.071242332458496,0.015625,27.62857142857143
2,Sequential,1,AAPL,290.1383688043356,63.67903922577149,26.218460419953164,286.1915010623086,294.0852365463626,0.2694892883300781,-0.00390625,11.8
2,Sequential,1,MSFT,473.04648434134515,92.63461158870601,13.440403918787805,467.3049316307525,478.7880370519378,0.26466965675354004,0.0078125,26.1
2,Sequential,1,GOOGL,206.10180329415215,56.20067800595638,25.0921401830958,202.61844918267892,209.58515740562538,0.2396225929260254,0.00390625,13.0
2,Parallel,1,AAPL,285.6792258590168,63.55755700438276,24.278606137081013,281.73988766307997,289.61856405495365,2.848050117492676,0.1875,14.8
2,Parallel,1,MSFT,471.6579733291503,93.84372058956868,13.107427656870577,465.84147926626775,477.47446739203286,2.8405239582061768,0.01171875,14.00769230769231
2,Parallel,1,GOOGL,207.06882662654093,59.227474876662704,25.679068663691645,203.3978697013961,210.73978355168575,3.266662120819092,0.0078125,10.41333333333333
2,Parallel,2,AAPL,283.85287472535515,62.10962768685667,23.484091336343063,280.0032801182909,287.7024693324194,2.837895393371582,0.0234375,12.184615384615386
2,Parallel,2,MSFT,473.7805980065204,93.69829566796281,13.616450361275872,467.97311747366206,479.5880785393787,2.856501579284668,0.0703125,15.584615384615384
2,Parallel,2,GOOGL,204.43614660159528,54.78337229427334,24.08118075842323,201.04063800823988,207.83165519495068,2.6404857635498047,0.0078125,19.325
2,Parallel,4,AAPL,287.23296769356904,63.830306682707,24.954528122358006,283.27672429742637,291.1892110897117,3.5391993522644043,-0.015625,30.04375
2,Parallel,4,MSFT,470.31445503015925,93.47811622128663,12.78524101442668,464.5206213607918,476.1082886995267,3.5698955059051514,-0.01171875,41.025
2,Parallel,4,GOOGL,206.0227223189169,55.62456214323061,25.04414250291138,202.57507623856205,209.47036839927173,3.7760424613952637,0.03125,34.311764705882354
3,Sequential,1,AAPL,291.3707758300683,67.23470577692991,26.754592604192535,287.20352559196726,295.5380260681693,0.3475019931793213,-0.0078125,6.8
3,Sequential,1,MSFT,477.21712018562323,90.88250192189135,14.440556399430033,471.5841643572782,482.85007601396825,0.40004777908325195,0.0234375,6.3
3,Sequential,1,GOOGL,204.8245550217992,57.28475206332839,24.31692270619794,201.2740093041235,208.3751007394749,0.2630794048309326,0.01171875,6.5
3,Parallel,1,AAPL,286.3391772131216,64.69815967224042,24.565703787110703,282.32914373140517,290.34921069483806,2.2212796211242676,0.17578125,8.690000000000001
3,Parallel,1,MSFT,472.6422071489532,92.49733422185179,13.343454951787342,466.9091629777094,478.37525132019704,2.6202821731567383,0.03125,8.216666666666667
3,Parallel,1,GOOGL,208.00685429310454,55.68240279706025,26.248398414746415,204.55562321188359,211.4580853743255,1.96675705909729,0.078125,7.522222222222222
3,Parallel,2,AAPL,287.005957503975,65.35808264851234,24.855772219275362,282.9550215724268,291.05689343552325,2.4088430404663086,0.01171875,10.118181818181819
3,Parallel,2,MSFT,469.5128586958434,87.29197637840464,12.593011677660293,464.10244594630126,474.9232714453856,2.445270538330078,0.01171875,10.60909090909091
3,Parallel,2,GOOGL,207.19824010850118,57.54820459962689,25.757615329311307,203.6313654334525,210.76511478354988,2.4372479915618896,0.015625,11.763636363636364
3,Parallel,4,AAPL,286.08740036122015,65.87418346274238,24.456173679985103,282.00447616979733,290.17032455264297,3.3062965869903564,0.0234375,33.95333333333333
3,Parallel,4,MSFT,473.3329858251075,95.07427147716605,13.509109310577344,467.44022142802663,479.2257502221884,3.534294843673706,0.0234375,41.60625
3,Parallel,4,GOOGL,204.26013469693305,56.31580229127697,23.974351485219454,200.76964510832983,207.75062428553628,3.108499050140381,0.0234375,22.307142857142857
4,Sequential,1,AAPL,286.45247762229866,64.82861133651016,24.61499269457306,282.43435866266265,290.47059658193467,0.4837362766265869,-0.00390625,5.6
